date,hospitalized,hospitalizedConfirmed,hospitalizedIcu,hospitalizedTestResultsPending,hospitalizedVentilator,ventilatorsOnHand,ventilatorsInUse,ventilatorsUtilization,bedAvailability,hospitalsPpeDifficulty,hospitalsOtherDifficulty,discharged,icuOccupancy,icuSurgeBeds,icuSurgeOccupancy,totalNonIcuBedsAvailable,totalIcuBedsAvailable,nonIcuBedsAvailableAdultOnly,icuBedsAvailableAdultOnly
2022-01-26,3510,3351,588,159,361,,,,1720,,,88374,,,,1364,356,1228,144
2022-01-27,3467,3312,576,155,343,,,,1648,,,89682,,,,1277,350,1176,137
2022-01-28,3197,3036,552,161,337,,,,1693,,,90236,,,,1334,359,1225,135
2022-01-29,3061,2937,536,124,341,,,,1786,,,90563,,,,1424,362,1310,130
2022-01-30,2949,2830,525,119,339,,,,1834,,,90907,,,,1436,398,1325,166
2022-01-31,2896,2757,512,139,349,,,,1862,,,91242,,,,1460,402,1343,170
2022-02-01,2924,2805,506,119,321,,,,1806,,,91586,,,,1423,383,1310,134
2022-02-02,2787,2645,479,142,303,,,,1802,,,92479,,,,1423,379,1312,129
2022-02-03,2578,2454,466,124,299,,,,1821,,,92906,,,,1453,368,1343,128
2022-02-04,2521,2399,454,122,286,,,,1825,,,93232,,,,1436,389,1333,141
2022-02-05,2382,2271,451,111,276,,,,1789,,,93547,,,,1422,367,1318,142
2022-02-06,2284,2206,438,78,262,,,,1891,,,93754,,,,1500,391,1396,153
2022-02-07,2250,2146,426,104,252,,,,1901,,,95592,,,,1499,402,1381,165
2022-02-08,2178,2068,434,110,248,,,,1714,,,95906,,,,1328,386,1224,161
2022-02-09,2113,2008,397,105,231,,,,1681,,,100697,,,,1299,382,1207,148
2022-02-10,1990,1905,408,85,220,,,,1669,,,100893,,,,1309,360,1217,130
2022-02-11,1953,1823,374,130,212,,,,1818,,,101170,,,,1470,348,1364,123
2022-02-12,1786,1700,358,86,213,,,,,,,,,,,,,,
2022-02-13,1700,1599,341,101,211,,,,1997,,,101670,,,,1611,386,1492,158
2022-02-14,1676,1563,349,113,210,,,,2030,,,101801,,,,1616,414,1504,188
2022-02-15,1669,1556,355,113,208,,,,1929,,,102061,,,,1521,408,1405,173
2022-02-16,1568,1490,320,78,199,,,,1928,,,102200,,,,1527,401,1402,159
2022-02-17,1499,1400,324,99,184,,,,1795,,,102439,,,,1408,387,1278,149
2022-02-18,1424,1340,297,84,175,,,,1869,,,102634,,,,1442,427,1327,194
2022-02-19,1334,1249,281,85,167,,,,1964,,,102769,,,,1526,438,1420,209
2022-02-20,1270,1162,250,108,171,,,,2024,,,102951,,,,1542,482,1436,249
2022-02-21,1221,1115,250,106,157,,,,2231,,,103042,,,,1706,525,1579,272
2022-02-22,1199,1070,240,129,148,,,,2035,,,103189,,,,1551,484,1429,222
2022-02-23,1080,988,217,92,133,,,,1940,,,103604,,,,1488,452,1389,212
2022-02-24,1018,945,208,73,142,,,,1839,,,103750,,,,1408,431,1324,187
2022-02-25,1002,925,198,77,121,,,,1868,,,103872,,,,1444,424,1358,188
2022-02-26,968,899,194,69,120,,,,2070,,,103980,,,,1613,457,1510,218
2022-02-27,940,877,186,63,134,,,,2160,,,104057,,,,1694,466,1591,237
2022-02-28,902,832,187,70,114,,,,2222,,,104179,,,,1734,488,1616,250
2022-03-01,855,792,164,63,112,,,,2222,,,104332,,,,1712,510,1609,258
2022-03-02,834,758,157,76,110,,,,2101,,,104447,,,,1585,516,1476,256
2022-03-03,789,722,154,67,100,,,,2108,,,104628,,,,1583,525,1478,259
2022-03-04,768,706,154,62,101,,,,2113,,,104748,,,,1589,524,1493,253
2022-03-05,709,672,149,37,104,,,,2193,,,104874,,,,1680,513,1576,263
2022-03-06,691,642,141,49,96,,,,2331,,,104933,,,,1806,525,1680,287
2022-03-07,636,595,139,41,97,,,,2420,,,105039,,,,1870,550,1751,303
2022-03-08,635,546,131,89,86,,,,2210,,,105170,,,,1647,563,1536,287
2022-03-09,593,506,130,87,92,,,,2142,,,105237,,,,1606,536,1499,263
2022-03-10,530,472,112,58,85,,,,2133,,,105331,,,,1604,529,1509,271
2022-03-11,507,443,115,64,85,,,,2224,,,105439,,,,1669,555,1574,291
2022-03-12,474,427,115,47,80,,,,2268,,,105498,,,,1694,574,1591,317
2022-03-13,457,412,103,45,79,,,,2374,,,105559,,,,1818,556,1708,296
2022-03-14,444,401,97,43,79,,,,2454,,,105599,,,,1878,576,1723,326
2022-03-15,433,400,95,33,75,,,,2403,,,105654,,,,1819,584,1726,325
2022-03-16,452,400,94,52,71,,,,2175,,,105709,,,,1601,574,1499,310
2022-03-17,462,394,94,68,72,,,,2101,,,105767,,,,1570,531,1474,271
2022-03-18,451,400,101,51,64,,,,,,,,,,,,,,
2022-03-19,402,355,91,47,52,,,,2296,,,105949,,,,1756,540,1662,285
2022-03-20,399,351,91,48,46,,,,2416,,,105993,,,,1864,552,1763,304
2022-03-21,408,349,88,59,41,,,,2401,,,106035,,,,1812,589,1726,335
2022-03-22,391,335,95,56,37,,,,2152,,,106083,,,,1594,558,1497,317
2022-03-23,379,321,83,58,40,,,,2059,,,106153,,,,1512,547,1423,294
2022-03-24,366,303,85,63,42,,,,2099,,,106189,,,,1588,511,1497,283
2022-03-25,321,264,78,57,31,,,,2195,,,106259,,,,1664,531,1574,304
2022-03-26,306,261,64,45,25,,,,2277,,,106308,,,,1728,549,1639,303
2022-03-27,282,251,53,31,25,,,,2420,,,106431,,,,1880,540,1792,297
2022-03-28,288,245,54,43,23,,,,2381,,,106458,,,,1829,552,1737,312
2022-03-29,326,250,61,76,25,,,,2267,,,106499,,,,1670,597,1574,335
2022-03-30,282,230,50,52,21,,,,2061,,,106532,,,,1509,552,1413,310
2022-03-31,267,221,46,46,17,,,,2073,,,106572,,,,1530,543,1446,287
2022-04-01,266,218,42,48,16,,,,2122,,,107169,,,,1604,518,1511,275
2022-04-02,245,202,37,43,13,,,,2252,,,107208,,,,1747,505,1630,271
2022-04-03,242,190,35,52,16,,,,2522,,,107234,,,,1983,539,1860,309
2022-04-04,230,183,37,47,15,,,,2470,,,107246,,,,1924,546,1787,321
2022-04-05,226,181,41,45,18,,,,2252,,,107297,,,,1712,540,1588,312
2022-04-06,241,183,42,58,17,,,,2092,,,107322,,,,1583,509,1475,288
2022-04-07,231,180,35,51,17,,,,2054,,,107341,,,,1563,491,1448,280
2022-04-08,219,177,32,42,11,,,,1965,,,107377,,,,1491,474,1395,255
2022-04-09,202,161,31,41,11,,,,2162,,,107466,,,,1642,520,1533,289
2022-04-10,205,159,30,46,12,,,,2225,,,107475,,,,1695,530,1589,308
2022-04-11,,150,26,,10,,,,,,,107489,,,,,,,
2022-04-12,,155,31,,15,,,,,,,107550,,,,,,,
2022-04-13,,152,34,,17,,,,,,,107602,,,,,,,
2022-04-14,,147,29,,14,,,,,,,107662,,,,,,,
2022-04-15,,150,27,,12,,,,,,,107652,,,,,,,
2022-04-16,,153,29,,10,,,,,,,107678,,,,,,,
2022-04-17,,143,27,,,,,,,,,107707,,,,,,,
2022-04-18,,152,26,,,,,,,,,107713,,,,,,,
2022-04-19,,159,32,,12,,,,,,,107737,,,,,,,
2022-04-20,,166,35,,13,,,,,,,107798,,,,,,,
2022-04-21,,165,32,,11,,,,,,,107843,,,,,,,
2022-04-22,,179,31,,15,,,,,,,107886,,,,,,,
2022-04-23,,180,30,,10,,,,,,,107926,,,,,,,
2022-04-24,,176,30,,10,,,,,,,107938,,,,,,,
2022-04-25,,176,30,,10,,,,,,,107968,,,,,,,
2022-04-26,,185,28,,12,,,,,,,108006,,,,,,,
2022-04-27,,200,35,,17,,,,,,,108031,,,,,,,
2022-04-28,,194,39,,14,,,,,,,108066,,,,,,,
2022-04-29,,186,37,,11,,,,,,,108103,,,,,,,
2022-04-30,,180,32,,,,,,,,,108177,,,,,,,
2022-05-01,,167,29,,11,,,,,,,108198,,,,,,,
2022-05-02,,166,28,,11,,,,,,,108219,,,,,,,
2022-05-03,,188,34,,10,,,,,,,108265,,,,,,,
2022-05-04,,206,30,,11,,,,,,,108324,,,,,,,
2022-05-05,,210,33,,,,,,,,,108366,,,,,,,
2022-05-06,,218,30,,11,,,,,,,108400,,,,,,,
2022-05-07,,250,38,,12,,,,,,,108474,,,,,,,
2022-05-09,,261,31,,11,,,,,,,108554,,,,,,,
2022-05-10,,282,34,,12,,,,,,,108615,,,,,,,
2022-05-11,,289,41,,19,,,,,,,108665,,,,,,,
2022-05-12,,299,44,,18,,,,,,,108723,,,,,,,
2022-05-13,,325,45,,20,,,,,,,108812,,,,,,,
2022-05-15,,362,49,,29,,,,,,,108891,,,,,,,
2022-05-16,,372,56,,30,,,,,,,108927,,,,,,,
2022-05-17,,390,57,,28,,,,,,,109000,,,,,,,
2022-05-18,,420,62,,26,,,,,,,109062,,,,,,,
2022-05-19,,412,60,,23,,,,,,,109122,,,,,,,
2022-05-20,,429,65,,23,,,,,,,109196,,,,,,,
2022-05-23,,459,55,,23,,,,,,,109376,,,,,,,
2022-05-24,,472,55,,19,,,,,,,109587,,,,,,,
2022-05-25,,519,62,,19,,,,,,,109683,,,,,,,
2022-05-26,,524,74,,23,,,,,,,109775,,,,,,,
2022-05-27,,523,68,,25,,,,,,,109862,,,,,,,
2022-05-30,,551,78,,22,,,,,,,110036,,,,,,,
2022-05-31,,573,79,,20,,,,,,,110136,,,,,,,
2022-06-01,,588,79,,28,,,,,,,110239,,,,,,,
2022-06-02,,582,80,,23,,,,,,,110333,,,,,,,
2022-06-03,,580,87,,30,,,,,,,110411,,,,,,,
2022-06-06,,560,91,,32,,,,,,,110598,,,,,,,
2022-06-07,,586,67,,24,,,,,,,110749,,,,,,,
2022-06-08,,581,76,,25,,,,,,,110865,,,,,,,
2022-06-09,,569,78,,25,,,,,,,110953,,,,,,,
2022-06-10,,574,83,,25,,,,,,,111058,,,,,,,
2022-06-13,,579,78,,28,,,,,,,111310,,,,,,,
2022-06-14,,572,85,,33,,,,,,,111405,,,,,,,
2022-06-15,,566,80,,29,,,,,,,111545,,,,,,,
2022-06-16,,553,83,,27,,,,,,,111627,,,,,,,
2022-06-17,,536,88,,29,,,,,,,111722,,,,,,,
2022-06-20,,536,112,,26,,,,,,,111849,,,,,,,
2022-06-21,,556,96,,27,,,,,,,112066,,,,,,,
2022-06-22,,542,91,,31,,,,,,,112137,,,,,,,
2022-06-23,,528,77,,33,,,,,,,112309,,,,,,,
2022-06-24,,532,76,,28,,,,,,,112342,,,,,,,
2022-06-27,,529,83,,27,,,,,,,112610,,,,,,,
2022-06-28,,571,85,,30,,,,,,,112751,,,,,,,
2022-06-29,,571,79,,32,,,,,,,112876,,,,,,,
2022-06-30,,603,84,,34,,,,,,,112988,,,,,,,
2022-07-01,,591,77,,29,,,,,,,113044,,,,,,,
2022-07-05,,609,82,,28,,,,,,,113253,,,,,,,
2022-07-06,,651,95,,31,,,,,,,113463,,,,,,,
2022-07-07,,648,98,,31,,,,,,,113629,,,,,,,
2022-07-08,,659,100,,28,,,,,,,113765,,,,,,,
2022-07-11,,647,89,,23,,,,,,,114031,,,,,,,
2022-07-12,,672,93,,27,,,,,,,114204,,,,,,,
2022-07-13,,675,89,,29,,,,,,,114324,,,,,,,
2022-07-14,,670,87,,31,,,,,,,114432,,,,,,,
2022-07-15,,641,97,,31,,,,,,,114557,,,,,,,
2022-07-18,,676,89,,23,,,,,,,114789,,,,,,,
2022-07-19,,701,90,,30,,,,,,,115074,,,,,,,
2022-07-20,,711,82,,24,,,,,,,115204,,,,,,,
2022-07-21,,731,91,,29,,,,,,,115330,,,,,,,
2022-07-22,,744,95,,31,,,,,,,115456,,,,,,,
2022-07-25,,756,93,,40,,,,,,,115785,,,,,,,
2022-07-26,,783,87,,28,,,,,,,115939,,,,,,,
2022-07-27,,797,93,,26,,,,,,,116053,,,,,,,
2022-07-28,,779,101,,29,,,,,,,116175,,,,,,,
2022-07-29,,768,96,,26,,,,,,,116319,,,,,,,
2022-08-01,,757,97,,25,,,,,,,116478,,,,,,,
2022-08-02,,813,103,,36,,,,,,,116743,,,,,,,
2022-08-03,,812,102,,44,,,,,,,116856,,,,,,,
2022-08-04,,819,112,,40,,,,,,,116945,,,,,,,
2022-08-05,,834,112,,36,,,,,,,117235,,,,,,,
2022-08-08,,737,109,,43,,,,,,,117588,,,,,,,
2022-08-09,,759,106,,49,,,,,,,117776,,,,,,,
2022-08-10,,784,115,,42,,,,,,,117940,,,,,,,
2022-08-11,,814,110,,37,,,,,,,118071,,,,,,,
2022-08-12,,805,119,,35,,,,,,,118237,,,,,,,
2022-08-15,,779,123,,53,,,,,,,118476,,,,,,,
2022-08-16,,786,120,,53,,,,,,,118726,,,,,,,
2022-08-17,,780,120,,57,,,,,,,119050,,,,,,,
2022-08-18,,800,125,,52,,,,,,,119148,,,,,,,
2022-08-19,,796,106,,43,,,,,,,119297,,,,,,,
2022-08-22,,803,100,,42,,,,,,,119497,,,,,,,
2022-08-23,,815,108,,32,,,,,,,119843,,,,,,,
2022-08-25,,815,83,,24,,,,,,,120070,,,,,,,
2022-08-26,,760,84,,29,,,,,,,120210,,,,,,,
2022-08-29,,774,92,,31,,,,,,,120447,,,,,,,
2022-08-30,,830,106,,39,,,,,,,120710,,,,,,,
2022-08-31,,831,106,,40,,,,,,,120826,,,,,,,
2022-09-01,,813,106,,40,,,,,,,120914,,,,,,,
2022-09-02,,773,107,,35,,,,,,,121090,,,,,,,
2022-09-06,,759,104,,35,,,,,,,121348,,,,,,,
2022-09-07,,794,118,,43,,,,,,,121481,,,,,,,
2022-09-08,,754,124,,47,,,,,,,121574,,,,,,,
2022-09-09,,735,115,,43,,,,,,,121687,,,,,,,
2022-09-12,,715,96,,35,,,,,,,121822,,,,,,,
2022-09-13,,733,94,,33,,,,,,,122025,,,,,,,
2022-09-14,,693,86,,30,,,,,,,122106,,,,,,,
2022-09-15,,672,80,,30,,,,,,,122174,,,,,,,
2022-09-16,,657,88,,28,,,,,,,122285,,,,,,,
2022-09-19,,662,97,,24,,,,,,,122419,,,,,,,
2022-09-20,,652,92,,21,,,,,,,122538,,,,,,,
2022-09-21,,653,78,,18,,,,,,,122608,,,,,,,
2022-09-22,,611,83,,24,,,,,,,122776,,,,,,,
2022-09-23,,605,82,,21,,,,,,,122848,,,,,,,
2022-09-26,,573,75,,21,,,,,,,123004,,,,,,,
2022-09-27,,571,65,,23,,,,,,,123156,,,,,,,
2022-09-28,,568,56,,20,,,,,,,123234,,,,,,,
2022-09-29,,559,64,,20,,,,,,,123297,,,,,,,
2022-10-03,,536,71,,19,,,,,,,123570,,,,,,,
2022-10-04,,544,65,,18,,,,,,,123690,,,,,,,
2022-10-05,,555,73,,26,,,,,,,123734,,,,,,,
2022-10-06,,564,71,,29,,,,,,,123842,,,,,,,
2022-10-07,,543,75,,27,,,,,,,123982,,,,,,,
2022-10-10,,515,74,,26,,,,,,,124050,,,,,,,
2022-10-11,,487,67,,29,,,,,,,124235,,,,,,,
2022-10-12,,488,65,,26,,,,,,,124311,,,,,,,
2022-10-13,,460,66,,24,,,,,,,124390,,,,,,,
2022-10-14,,472,69,,25,,,,,,,124450,,,,,,,
2022-10-17,,488,65,,24,,,,,,,124593,,,,,,,
